,Name,Category,Effect
337,Full Incense,Hold items,Holder always attacks last. Breeding Snorlax produces Munchlax when held.
338,Full Restore,Medicine,Fully restores HP and cures any status condition of a Pokémon.
339,Galarica Cuff,General items,Evolves Galarian Slowpoke into Galarian Slowbro.
340,Galarica Twig,General items,"Used to create Galarica Cuff/Wreath, to evolve Galarian Slowpoke."
341,Galarica Wreath,General items,Evolves Galarian Slowpoke into Galarian Slowking.
342,Galladite,Hold items,Enables Gallade to Mega Evolve during battle.
343,Ganlon Berry,Berries,Raises Defense when HP is low.
344,Garchompite,Hold items,Enables Garchomp to Mega Evolve during battle.
345,Gardevoirite,Hold items,Enables Gardevoir to Mega Evolve during battle.
346,Gastly Gas,General items,"Material obtained after defeating/catching Gastly, used in TM crafting."
347,Gengarite,Hold items,Enables Gengar to Mega Evolve during battle.
348,Genius Feather,Medicine,Increases Special Attack EVs by 1.
349,Genius Mochi,Medicine,Increases Special Attack EVs.
350,Genome Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Genome Room at Ramanas Park.
351,Gentle Mint,Battle items,Changes the Pokémon's stats to match the Gentle nature.
352,Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.
353,Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.
354,Ghost Tera Shard,None,Changes a Pokémon's Tera Type to Ghost.
355,Ghostium Z,Hold items,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move."
356,Gible Scales,General items,"Material obtained after defeating/catching Gible, used in TM crafting."
357,Gigantamix,General items,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.
358,Gigaton Ball,Pokeballs,
359,Gimmighoul Coin,General items,Material obtained after defeating/catching Gimmighoul. Allows evolution into Gholdengo.
360,Girafarig Fur,General items,"Material obtained after defeating/catching Girafarig, used in TM crafting."
361,Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.
362,Glimmet Crystal,General items,"Material obtained after defeating/catching Glimmet, used in TM crafting."
363,Gold Bottle,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
364,Gold Bottle Cap,General items,Maximizes all of a Pokémon's IV stats in Hyper Training.
365,Gold Cup,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
366,Gold Leaf,General items,
367,Gold Pick,None,"A golden pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings."
368,Golden Nanab Berry,Berries,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
369,Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
370,Golden Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.
371,Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
372,Goomy Goo,General items,"Material obtained after defeating/catching Goomy, used in TM crafting."
373,Gothita Eyelash,General items,"Material obtained after defeating/catching Gothita, used in TM crafting."
374,Grain Cake,General items,
375,Grass Gem,Hold items,Increases the power of a Grass-type move only once.
376,Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.
377,Grass Tera Shard,None,Changes a Pokémon's Tera Type to Grass.
378,Grassium Z,Hold items,"Allows the use of Bloom Doom, the Grass type Z-Move."
379,Grassy Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
380,Great Ball,Pokeballs,Catches wild Pokémon with 1.5x the rate of a Poké Ball.
381,Greavard Wax,General items,"Material obtained after defeating/catching Greavard, used in TM crafting."
382,Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent."
383,Green Bell Pepper,None,"An ingredient with some bitterness. When sliced, it adds a nice accent to a sandwich."
384,Green Dish,None,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The green variety is quite popular.
385,Green Poké Ball Pick,None,A sandwich pick with a simple green Poké Ball design. Often used by Trainers who picked a Grass-type Pokémon for their first partner.
386,Green Scarf,General items,Raises holder's Smart aspect in a Contest.
387,Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.
388,Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.
389,Grimer Toxin,General items,"Material obtained after defeating/catching Grimer, used in TM crafting."
390,Grip Claw,Hold items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.
391,Griseous Core,Hold items,
392,Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme."
393,Grit Dust,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 0-2."
394,Grit Gravel,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 3-5."
395,Grit Pebble,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 6-8."
396,Grit Rock,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 8-9."
397,Ground Gem,Hold items,Increases the power of a Ground-type move only once.
398,Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.
399,Ground Tera Shard,None,Changes a Pokémon's Tera Type to Ground.
400,Groundium Z,Hold items,"Allows the use of Tectonic Rage, the Ground type Z-Move."
401,Growlithe Fur,General items,"Material obtained after defeating/catching Growlithe, used in TM crafting."
402,Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
403,Grubby Hanky,Hold items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
404,Guard Spec.,Battle items,Prevents stat reduction for five turns.
405,Gulpin Mucus,General items,"Material obtained after defeating/catching Gulpin, used in TM crafting."
406,Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.
407,Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.
408,Ham,None,A very salty ingredient—and that very saltiness is what makes it such a nice companion to veggies.
409,Hamburger,None,This very salty ingredient is the thing to add if you want to make your sandwich truly filling.
410,Happiny Dust,General items,"Material obtained after defeating/catching Happiny, used in TM crafting."
411,Hard Stone,Hold items,Increases the power of Rock-type moves.
412,Hasty Mint,Battle items,Changes the Pokémon's stats to match the Hasty nature.
413,Hatenna Dust,General items,"Material obtained after defeating/catching Hatenna, used in TM crafting."
414,Hawlucha Down,General items,"Material obtained after defeating/catching Hawlucha, used in TM crafting."
415,Heal Ball,Pokeballs,Catches wild Pokémon and fully heals them.
416,Heal Powder,Medicine,"Heals all status problems, but lowers Friendship."
417,Health Candy,Medicine,Increases a Pokémon's HP stat by 1.
418,Health Candy L,Medicine,Increases a Pokémon's HP stat.
419,Health Candy XL,Medicine,Increases a Pokémon's HP stat.
420,Health Feather,Medicine,Increases HP EVs by 1.
421,Health Mochi,Medicine,Increases HP EVs.
422,Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow."
423,Hearty Grains,General items,
424,Heat Rock,Hold items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.
425,Heavy Ball,Pokeballs,A Poké Ball for catching very heavy Pokémon.
426,Heavy-Duty Boots,Hold items,Protects the holder from traps set on the battlefield.
427,Helix Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.
428,Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.
429,Heracross Claw,General items,"Material obtained after defeating/catching Heracross, used in TM crafting."
430,Herbed Sausage,None,A very salty and bitter ingredient. The balance between the potent saltiness and the herbs’ bitterness make this sausage a pleasure.
431,Heroic Sword Pick,None,"A pick made to be the coolest. Once you’ve eaten, you can pretend you’re a hero of legend. Souvenir shops at tourist spots sell these for some reason."
432,Hi-tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.
433,Hippopotas Sand,General items,"Material obtained after defeating/catching Hippopotas, used in TM crafting."
434,HM01,Machines,Teaches the move Cut.
435,HM02,Machines,Teaches the move Fly.
436,HM03,Machines,Teaches the move Surf.
437,HM04,Machines,Teaches the move Strength.
438,HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.
439,HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.
440,HM07,Machines,Teaches the move Waterfall.
441,HM08,Machines,Teaches the move Dive/Rock Climb.
442,Hometown Muffin,General items,
443,Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.
444,Honey,General items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees."
445,Honey Cake,General items,
446,Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
447,Hopo Berry,General items,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled."
448,Hoppip Leaf,General items,"Material obtained after defeating/catching Hoppip, used in TM crafting."
449,Horseradish,None,A very spicy condiment. Its distinctive sharp sizzle in your sinuses makes it a good match for rich fillings.
450,Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.
451,Houndour Fang,General items,"Material obtained after defeating/catching Houndour, used in TM crafting."
452,HP Up,Medicine,Increases HP EVs by 10.
453,Hyper Potion,Medicine,Restores 120 HP.
454,Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion."
455,Ice Gem,Hold items,Increases the power of an Ice-type move only once.
456,Ice Heal,Medicine,Cures a Pokémon of freezing.
457,Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.
458,Ice Stone,General items,Evolves certain species of Pokémon.
459,Ice Tera Shard,None,Changes a Pokémon's Tera Type to Ice.
460,Iceroot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.
461,Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus' type to Ice.
462,Icium Z,Hold items,"Allows the use of Subzero Slammer, the Ice type Z-Move."
463,Icy Rock,Hold items,A Pokémon held item that extends the duration of the move Hail used by the holder.
464,Igglybuff Fluff,General items,"Material obtained after defeating/catching Igglybuff, used in TM crafting."
465,Impidimp Hair,General items,"Material obtained after defeating/catching Impidimp, used in TM crafting."
466,Impish Mint,Battle items,Changes the Pokémon's stats to match the Impish nature.
467,Incinium Z,Hold items,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault."
468,Indeedee Fur,General items,"Material obtained after defeating/catching Indeedee, used in TM crafting."
469,Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus' type to Bug.
470,Instant Noodles,General items,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry."
471,Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
472,Iron,Medicine,Increases Defense EVs by 10.
473,Iron Ball,Hold items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
474,Iron Barktongue,General items,
475,Iron Chunk,General items,
476,Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus' type to Steel.
477,Item Drop,Battle items,"When used, it causes an ally Pokémon to drop a held item."
478,Item Urge,Battle items,"When used, it causes an ally Pokémon to use its held item."
479,Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage."
480,Jalapeño,None,A very spicy ingredient—so spicy as to leave no room for ambivalence about it. You either like it or you don’t.
481,Jam,None,"A condiment that’s very sweet and likewise very sour. Take care when adding it to sandwiches, as the sweet side can overwhelm."
482,Jet Ball,Pokeballs,
483,Johto Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Johto Room at Ramanas Park.
484,Jolly Mint,Battle items,Changes the Pokémon's stats to match the Jolly nature.
485,Jubilife Muffin,General items,
486,Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.
487,Kanto Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Kanto Room at Ramanas Park.
488,Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.
489,Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.
490,Kee Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move."
491,Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.
492,Ketchup,None,"A condiment with very salty and tart flavor. While a number of other ingredients go into its signature flavor, the noble tomato is its heart and soul."
493,King's Leaf,General items,
494,King's Rock,Hold items,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.
495,Kiwi,None,A very tart ingredient that has a light touch of sweetness as well. It goes well with rich ingredients.
496,Klawf Claw,General items,"Material obtained after defeating/catching Klawf, used in TM crafting."
497,Klawf Stick,None,A very sweet and salty ingredient. It’s a nutritious processed food made with a concentrate derived from shed Klawf shells.
498,Klefki Key,General items,"Material obtained after defeating/catching Klefki, used in TM crafting."
499,Kofu's Wallet,None,"A wallet that was left behind by Kofu, the Gym Leader at the Cascarrafa Gym. You’re to deliver it to him at the market in Porto Marinada."
500,Komala Claw,General items,"Material obtained after defeating/catching Komala, used in TM crafting."
501,Kommonium Z,Hold items,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze."
502,Koraidon's Poké Ball,None,A Poké Ball that can hold the mysterious Pokémon known as Koraidon. A boy named Arven gave it to you.
503,Kricketot Shell,General items,"Material obtained after defeating/catching Kricketot, used in TM crafting."
504,Lagging Tail,Hold items,Holder always attacks last.
505,Lansat Berry,Berries,Increases critical-hit ratio when HP is low.
506,Large Leek,General items,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.
507,Larvesta Fuzz,General items,"Material obtained after defeating/catching Larvesta, used in TM crafting."
508,Larvitar Claw,General items,"Material obtained after defeating/catching Larvitar, used in TM crafting."
509,Latiasite,Hold items,Enables Latias to Mega Evolve during battle.
510,Latiosite,Hold items,Enables Latios to Mega Evolve during battle.
511,Lava Cookie,Medicine,Heals all major status conditions.
512,Lax Incense,Hold items,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.
513,Lax Mint,Battle items,Changes the Pokémon's stats to match the Lax nature.
514,Leaden Ball,Pokeballs,
515,Leader's Crest,None,A shard of what appears to be an old blade of some sort. It is held only by Bisharp that head up a group of Pawniard.
516,Leaf Letter,General items,A letter written on a leaf. Something is written using Eevee's footprints.
517,Leaf Stone,General items,Evolves certain species of Pokémon.
518,Leafy Tablecloth,None,A botanically themed tablecloth featuring Grass-type Pokémon. Can you find the Pokémon that doesn’t quite fit in?
519,Lechonk Hair,General items,"Material obtained after defeating/catching Lechonk, used in TM crafting."
520,Leek,Hold items,Increases critical-hit ratio when held by Farfetch'd.
521,Leftovers,Hold items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.
522,Legend Plate,Hold items,
523,Lemonade,Medicine,Restores 70 HP.
524,Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10."
525,Lettuce,None,This bitter-tasting ingredient is simple and straightforward—just add it to all kinds of other ingredients for a delightfully crunchy time.
526,Level Ball,Pokeballs,A Poké Ball for catching Pokémon that are a lower level than your own.
527,Liechi Berry,Berries,Raises Attack when HP is low.
528,Life Orb,Hold items,"Increases the power of moves, but loses HP each turn."
529,Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.
530,Light Clay,Hold items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
531,Lilac Tablecloth,None,"A light purple tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
532,Linking Cord,General items,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.
533,Litleo Tuft,General items,"Material obtained after defeating/catching Litleo, used in TM crafting."
534,Loaded Dice,Hold items,Makes multi-strike moves more likely to hit more times.
535,Lone Earring,General items,
536,Lonely Mint,Battle items,Changes the Pokémon's stats to match the Lonely nature.
537,Looker Ticket,Hold items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.
538,Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.
539,Lost Satchel,General items,
540,Love Ball,Pokeballs,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.
541,Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.
542,Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.
543,Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.
544,Lucky Egg,Hold items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.
545,Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.
546,Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem."
547,Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.
548,Lumiose Galette,Medicine,Heals all major status conditions.
549,Lunalium Z,Hold items,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom."
550,Lure,General items,Attracts Pokémon in the wild.
551,Lure Ball,Pokeballs,A Poké Ball for catching Pokémon hooked by a Rod when fishing.
552,Lustrous Globe,Hold items,
553,Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.
554,Luvdisc Scales,General items,"Material obtained after defeating/catching Luvdisc, used in TM crafting."
555,Luxury Ball,Pokeballs,Catches wild Pokémon and increases their friendship more quickly.
556,Lycanium Z,Hold items,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards."
557,Macho Brace,Hold items,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
558,Magical Heart Pick,None,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
559,Magical Star Pick,None,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
560,Magikarp Scales,General items,"Material obtained after defeating/catching Magikarp, used in TM crafting."
561,Magmarizer,General items,Evolves Magmar when traded holding the item.
562,Magnemite Screw,General items,"Material obtained after defeating/catching Magnemite, used in TM crafting."
563,Magnet,Hold items,Increases the power of Electric-type moves.
564,Mago Berry,Berries,"Restores HP if it's low, but may cause confusion."
565,Magost Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
566,Makuhita Sweat,General items,"Material obtained after defeating/catching Makuhita, used in TM crafting."
567,Malicious Armor,General items,Evolves Charcadet into Ceruledge.
568,Manectite,Hold items,Enables Manectric to Mega Evolve during battle.
569,Mankey Fur,General items,"Material obtained after defeating/catching Mankey, used in TM crafting."
570,Maranga Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move."
571,Marble,General items,
572,Mareanie Spike,General items,"Material obtained after defeating/catching Mareanie, used in TM crafting."
573,Mareep Wool,General items,"Material obtained after defeating/catching Mareep, used in TM crafting."
574,Marill Ball,None,A Marill-themed ball. It’s soft and springy. Make sure you haven’t mistaken a real Marill for this ball before throwing.
575,Marmalade,None,"A condiment with sour and bitter notes. It’s surprisingly useful, as it makes a nice counterpoint to oilier foods."
576,Marsh Balm,General items,
577,Marshadium Z,Hold items,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike."
578,Maschiff Fang,General items,"Material obtained after defeating/catching Maschiff, used in TM crafting."
579,Master Ball,Pokeballs,Catches any wild Pokémon without fail.
580,Masterpiece Teacup,General items,Evolves Poltchageist (Masterpiece) into Sinistcha (Masterpiece).
581,Mawilite,Hold items,Enables Mawile to Mega Evolve during battle.
582,Max Elixir,Medicine,Fully restores PP to all moves of a Pokémon.
583,Max Ether,Medicine,Fully restores PP to one move of a Pokémon.
584,Max Honey,General items,
585,Max Lure,General items,Attracts Pokémon in the wild.
586,Max Mushrooms,General items,
587,Max Potion,Medicine,Fully restores HP.
588,Max Repel,General items,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.
589,Max Revive,Medicine,"Revives a fainted Pokémon, fully restoring its HP."
590,Mayonnaise,None,A condiment that packs a very tart punch yet pairs well with various ingredients.
591,Meadow Plate,Hold items,Increases power of Grass-type moves. Changes Arceus' type to Grass.
592,Medichamite,Hold items,Enables Medicham to Mega Evolve during battle.
593,Medicinal Leek,General items,
594,Meditite Sweat,General items,"Material obtained after defeating/catching Meditite, used in TM crafting."
595,Mental Herb,Hold items,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.
596,Meowth Fur,General items,"Material obtained after defeating/catching Meowth, used in TM crafting."
597,Metagrossite,Hold items,Enables Metagross to Mega Evolve during battle.
598,Metal Coat,Hold items,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.
599,Metal Powder,Hold items,Increases Defense when held by Ditto.
600,Metronome,Hold items,Increases the power of moves used consecutively.
601,Mewnium Z,Hold items,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova."
602,Mewtwonite X,Hold items,Enables Mewtwo to Mega Evolve during battle.
603,Mewtwonite Y,Hold items,Enables Mewtwo to Mega Evolve during battle.
604,Micle Berry,Berries,Increases a move's accuracy when HP is low.
605,Mighty Candy,Medicine,Increases a Pokémon's Attack stat by 1.
606,Mighty Candy L,Medicine,Increases a Pokémon's Attack stat.
607,Mighty Candy XL,Medicine,Increases a Pokémon's Attack stat.
608,Mild Mint,Battle items,Changes the Pokémon's stats to match the Mild nature.
609,Mimikium Z,Hold items,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever."
610,Mimikyu Scrap,General items,"Material obtained after defeating/catching Mimikyu, used in TM crafting."
611,Mind Plate,Hold items,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.
612,Mint Tablecloth,None,"A light mint-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
613,Miracle Seed,Hold items,Increases the power of Grass-type moves.
614,Miraidon's Poké Ball,None,A Poké Ball that can hold the mysterious Pokémon known as Miraidon. A boy named Arven gave it to you.
615,Mirror Herb,Hold items,Copies an opponent's stat increases when consumed.
616,Misdreavus Tears,General items,"Material obtained after defeating/catching Misdreavus, used in TM crafting."
617,Misty Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
618,Mixed Mushrooms,General items,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.
619,Modest Mint,Battle items,Changes the Pokémon's stats to match the Modest nature.
620,Monstrous Tablecloth,None,A tablecloth designed by the Pewter Museum of Science. The academic air of the pattern is a big hit with kids and adults alike.
621,Moomoo Cheese,General items,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.
622,Moomoo Milk,Medicine,Restores 100 HP.
623,Moon Ball,Pokeballs,A Poké Ball for catching Pokémon that evolve using the Moon Stone.
624,Moon Stone,General items,Evolves certain species of Pokémon.
625,Mudbray Mud,General items,"Material obtained after defeating/catching Mudbray, used in TM crafting."
626,Murkrow Bauble,General items,"Material obtained after defeating/catching Murkrow, used in TM crafting."
627,Muscle Band,Hold items,Increases the power of Physical-category moves.
628,Muscle Feather,Medicine,Increases Attack EVs by 1.
629,Muscle Mochi,Medicine,Increases Attack EVs.
630,Mushroom Cake,General items,
631,Mustard,None,A very spicy condiment that’s indispensable when bread is on the table. It pairs tremendously with ketchup.
632,Mysterious Shard L,None,"A large shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses."
633,Mysterious Shard S,None,"A small shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses."
634,Mystic Water,Hold items,Increases the power of Water-type moves.
635,Nacli Salt,General items,"Material obtained after defeating/catching Nacli, used in TM crafting."
636,Naive Mint,Battle items,Changes the Pokémon's stats to match the Naive nature.
637,Nanab Berry,Berries,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
638,Naughty Mint,Battle items,Changes the Pokémon's stats to match the Naughty nature.
639,Nest Ball,Pokeballs,Catches lower level wild Pokémon with a higher rate (up to 4x for level 1).
640,Net Ball,Pokeballs,Catches Water- and Bug-type Pokémon with 3.5x the rate of a standard Poké Ball.
641,Never-Melt Ice,Hold items,Increases the power of Ice-type moves.
642,Noibat Fur,General items,"Material obtained after defeating/catching Noibat, used in TM crafting."
643,Nomel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
644,Noodles,None,A nice salty ingredient. It’s unclear how well these boiled noodles will serve as a sandwich filling.
645,Normal Gem,Hold items,Increases the power of a Normal-type move only once.
646,Normal Tera Shard,None,Changes a Pokémon's Tera Type to Normal.
647,Normalium Z,Hold items,"Allows the use of Breakneck Blitz, the Normal type Z-Move."
648,Nugget,General items,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
649,Numel Lava,General items,"Material obtained after defeating/catching Numel, used in TM crafting."
650,Nymble Claw,General items,"Material obtained after defeating/catching Nymble, used in TM crafting."
651,Occa Berry,Berries,Weakens a supereffective Fire-type attack against the holding Pokémon.
652,Oceanic Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Oceanic Room at Ramanas Park.
653,Odd Incense,Hold items,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.
654,Odd Keystone,General items,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
655,Old Amber,General items,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.
656,Old Gateau,Medicine,Heals all major status conditions.
657,Olive Oil,None,A condiment offering faint notes of sour and bitter flavors. The most prized varieties are the ones Smoliv love the smell of—such oils’ quality is assured.
658,Onion,None,This spicy veggie is indispensable to many sandwiches. It goes well with rich ingredients.
659,Oran Berry,Berries,"If held by a Pokémon, it heals the user by just 10 HP."
660,Orange Dish,None,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The orange variety is the most popular of all.
661,Oranguru Fur,General items,"Material obtained after defeating/catching Oranguru, used in TM crafting."
662,Oricorio Feather,General items,"Material obtained after defeating/catching Oricorio, used in TM crafting."
663,Origin Ball,Pokeballs,
664,Origin Ore,General items,
665,Orthworm Tarnish,General items,"Material obtained after defeating/catching Orthworm, used in TM crafting."
666,Oval Charm,General items,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.
667,Oval Stone,General items,Evolves Happiny when held.
668,Pachirisu Fur,General items,"Material obtained after defeating/catching Pachirisu, used in TM crafting."
669,Pack of Potatoes,General items,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild."
670,Packaged Curry,General items,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.
671,Pamtre Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
672,Paralyze Heal,Medicine,Cures a Pokémon of paralysis.
673,Parasol Pick,None,"Some complain that the parasol part of this pick is hard to hold on to, so your fingers get messy. Still, it’s fun to twirl this all around after you’ve eaten."
674,Park Ball,Pokeballs,A special Poké Ball for the Pal Park.
675,Party Sparkler Pick,None,This pick features a small sparkler that goes off automatically. It’s used at parties or for guests of honor. It leaves an oddly appealing aroma once it’s burned out.
676,Pass Orb,Hold items,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power."
677,Passho Berry,Berries,Weakens a supereffective Water-type attack against the holding Pokémon.
678,Passimian Fur,General items,"Material obtained after defeating/catching Passimian, used in TM crafting."
679,Pasta,General items,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.
680,Pawmi Fur,General items,"Material obtained after defeating/catching Pawmi, used in TM crafting."
681,Pawniard Blade,General items,"Material obtained after defeating/catching Pawniard, used in TM crafting."
682,Payapa Berry,Berries,Weakens a supereffective Psychic-type attack against the holding Pokémon.
683,Peach Tablecloth,None,"A light peach-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
